Temperature[C],Humidity[%],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],class
8.118,61,400,13184,20016,939.703,1
8.106,61.52,400,13184,20019,939.701,1
8.093,61.95,400,13180,20013,939.694,1
8.081,62.33,400,13190,20019,939.686,1
8.068,62.67,400,13185,20023,939.681,1
8.056,62.93,400,13186,20013,939.693,1
8.043,63.18,400,13184,20013,939.697,1
8.031,63.36,400,13185,20013,939.698,1
8.018,63.53,400,13185,20005,939.704,1
8.006,63.69,400,13180,20010,939.7,1
7.993,63.83,400,13181,20014,939.7,1
7.981,63.92,400,13184,20015,939.703,1
7.968,64.05,400,13193,20015,939.692,1
7.956,64.13,400,13185,20011,939.692,1
7.943,64.21,400,13189,20016,939.704,1
7.931,64.28,400,13180,20011,939.707,1
7.918,64.34,400,13184,20013,939.696,1
7.906,64.44,400,13182,19999,939.69,1
7.893,64.44,400,13178,20003,939.7,1
7.881,64.53,400,13181,20006,939.708,1
7.869,64.51,400,13178,19996,939.709,1
7.856,64.52,400,13182,20003,939.685,1
7.844,64.57,400,13174,19990,939.687,1
7.831,64.62,400,13174,20008,939.696,1
7.819,64.65,400,13176,19989,939.691,1
7.806,64.77,400,13188,20014,939.695,1
7.794,64.09,400,13196,20025,939.7,1
7.781,63.2,400,13189,20013,939.702,1
7.769,62.3,400,13189,20009,939.708,1
7.756,61.45,400,13188,20008,939.699,1
7.744,60.79,400,13188,20016,939.709,1
7.731,60.23,400,13180,20008,939.707,1
7.719,59.71,400,13184,20004,939.69,1
7.706,59.25,400,13184,19998,939.686,1
7.694,58.87,400,13178,19995,939.701,1
7.681,58.52,400,13178,19997,939.695,1
7.669,58.27,400,13178,20000,939.695,1
7.656,58.02,400,13174,19992,939.688,1
7.644,57.76,400,13173,19991,939.686,1
7.631,57.63,400,13180,19992,939.679,1
7.619,57.46,400,13175,19984,939.664,1
7.607,57.26,400,13172,19983,939.679,1
7.594,57.15,400,13174,19990,939.674,1
7.582,56.99,400,13176,19982,939.665,1
7.569,56.82,400,13171,19982,939.672,1
7.557,56.75,400,13165,19989,939.671,1
7.544,56.63,400,13162,19972,939.682,1
7.532,56.55,400,13165,19974,939.687,1
7.519,56.46,400,13164,19981,939.692,1
7.507,56.34,400,13167,19981,939.688,1
7.494,56.24,400,13169,19981,939.687,1
7.482,56.21,400,13161,19968,939.682,1
7.469,56.12,400,13170,19977,939.669,1
7.457,56.04,400,13167,19984,939.654,1
7.444,55.95,400,13162,19974,939.666,1
7.432,55.83,400,13138,19948,939.652,1
7.42,56.37,400,13146,19950,939.651,1
7.407,57.19,400,13146,19953,939.665,1
7.395,58.03,400,13147,19952,939.667,1
7.382,58.74,400,13150,19948,939.675,1
7.37,59.32,400,13150,19954,939.675,1
7.357,59.84,400,13149,19954,939.672,1
7.345,60.28,400,13151,19952,939.669,1
7.332,60.65,400,13152,19956,939.673,1
7.32,60.95,400,13152,19961,939.67,1
7.307,61.19,400,13153,19961,939.675,1
7.295,61.43,400,13146,19954,939.677,0
7.283,61.65,400,13153,19950,939.68,0
7.27,61.8,400,13151,19957,939.677,0
7.258,61.94,400,13153,19957,939.664,0
7.245,62.09,400,13146,19951,939.664,0
7.233,62.17,400,13148,19964,939.666,0
